space, pressureNx=80
0.0125, 993730
0.0248418, 981067
0.0371835, 968040
0.0495253, 954419
0.0618671, 939984
0.0742089, 924539
0.0865506, 907910
0.0988924, 889955
0.111234, 870562
0.123576, 849655
0.135918, 827198
0.148259, 803189
0.160601, 777667
0.172943, 750708
0.185285, 722422
0.197627, 692952
0.209968, 662472
0.22231, 631179
0.234652, 599291
0.246994, 567039
0.259335, 534665
0.271677, 502413
0.284019, 470524
0.296361, 439231
0.308703, 408751
0.321044, 379281
0.333386, 350995
0.345728, 324036
0.35807, 298514
0.370411, 274505
0.382753, 252048
0.395095, 231142
0.407437, 211749
0.419778, 193793
0.43212, 177165
0.444462, 161719
0.456804, 147285
0.469146, 133663
0.481487, 120637
0.493829, 107974
0.506171, 95432.9
0.518513, 82769.9
0.530854, 69743.7
0.543196, 56122
0.555538, 41687.2
0.56788, 26241.9
0.580222, 9613.26
0.592563, -8342.14
0.604905, -27735.2
0.617247, -48641.3
0.629589, -71098.7
0.64193, -95107.4
0.654272, -120629
0.666614, -147589
0.678956, -175875
0.691297, -205344
0.703639, -235824
0.715981, -267118
0.728323, -299006
0.740665, -331258
0.753006, -363632
0.765348, -395884
0.77769, -427773
0.790032, -459066
0.802373, -489546
0.814715, -519015
0.827057, -547301
0.839399, -574261
0.851741, -599783
0.864082, -623791
0.876424, -646249
0.888766, -667155
0.901108, -686548
0.913449, -704503
0.925791, -721132
0.938133, -736577
0.950475, -751012
0.962816, -764634
0.975158, -777660
0.9875, -790323
