space, pressureNx=100
0.01, 999998
0.019899, 999988
0.029798, 999968
0.039697, 999938
0.049596, 999898
0.0594949, 999848
0.0693939, 999788
0.0792929, 999718
0.0891919, 999638
0.0990909, 999548
0.10899, 999448
0.118889, 999338
0.128788, 999218
0.138687, 999088
0.148586, 998948
0.158485, 998798
0.168384, 998638
0.178283, 998468
0.188182, 998288
0.198081, 998098
0.20798, 997898
0.217879, 997688
0.227778, 997468
0.237677, 997238
0.247576, 996998
0.257475, 996748
0.267374, 996488
0.277273, 996218
0.287172, 995938
0.297071, 995648
0.30697, 995348
0.316869, 995038
0.326768, 994718
0.336667, 994388
0.346566, 994048
0.356465, 993698
0.366364, 993338
0.376263, 992968
0.386162, 992588
0.396061, 992198
0.40596, 991798
0.415859, 991388
0.425758, 990968
0.435657, 990538
0.445556, 990098
0.455455, 989648
0.465354, 989188
0.475253, 988718
0.485152, 988238
0.495051, 985528
0.504949, 980528
0.514848, 975428
0.524747, 970228
0.534646, 964928
0.544545, 959528
0.554444, 954028
0.564343, 948428
0.574242, 942728
0.584141, 936928
0.59404, 931028
0.603939, 925028
0.613838, 918928
0.623737, 912728
0.633636, 906428
0.643535, 900028
0.653434, 893528
0.663333, 886928
0.673232, 880228
0.683131, 873428
0.69303, 866528
0.702929, 859528
0.712828, 852428
0.722727, 845228
0.732626, 837928
0.742525, 830528
0.752424, 823028
0.762323, 815428
0.772222, 807728
0.782121, 799928
0.79202, 792028
0.801919, 784028
0.811818, 775928
0.821717, 767728
0.831616, 759428
0.841515, 751028
0.851414, 742528
0.861313, 733928
0.871212, 725228
0.881111, 716428
0.89101, 707528
0.900909, 698528
0.910808, 689428
0.920707, 680228
0.930606, 670928
0.940505, 661528
0.950404, 652028
0.960303, 642428
0.970202, 632728
0.980101, 622928
0.99, 613028
