space, exact pressure
0.003125, 996874, 
0.009375, 990608, 
0.015625, 984295, 
0.021875, 977907, 
0.028125, 971412, 
0.034375, 964782, 
0.040625, 957989, 
0.046875, 951005, 
0.053125, 943804, 
0.059375, 936361, 
0.065625, 928654, 
0.071875, 920659, 
0.078125, 912359, 
0.084375, 903733, 
0.090625, 894767, 
0.096875, 885446, 
0.103125, 875759, 
0.109375, 865696, 
0.115625, 855250, 
0.121875, 844417, 
0.128125, 833193, 
0.134375, 821580, 
0.140625, 809578, 
0.146875, 797194, 
0.153125, 784434, 
0.159375, 771307, 
0.165625, 757826, 
0.171875, 744005, 
0.178125, 729858, 
0.184375, 715406, 
0.190625, 700666, 
0.196875, 685661, 
0.203125, 670415, 
0.209375, 654952, 
0.215625, 639298, 
0.221875, 623481, 
0.228125, 607528, 
0.234375, 591470, 
0.240625, 575335, 
0.246875, 559154, 
0.253125, 542958, 
0.259375, 526778, 
0.265625, 510643, 
0.271875, 494585, 
0.278125, 478632, 
0.284375, 462815, 
0.290625, 447161, 
0.296875, 431697, 
0.303125, 416451, 
0.309375, 401447, 
0.315625, 386707, 
0.321875, 372254, 
0.328125, 358108, 
0.334375, 344286, 
0.340625, 330805, 
0.346875, 317679, 
0.353125, 304919, 
0.359375, 292535, 
0.365625, 280533, 
0.371875, 268919, 
0.378125, 257696, 
0.384375, 246862, 
0.390625, 236417, 
0.396875, 226354, 
0.403125, 216667, 
0.409375, 207346, 
0.415625, 198380, 
0.421875, 189754, 
0.428125, 181453, 
0.434375, 173459, 
0.440625, 165751, 
0.446875, 158309, 
0.453125, 151108, 
0.459375, 144124, 
0.465625, 137330, 
0.471875, 130701, 
0.478125, 124206, 
0.484375, 117817, 
0.490625, 111505, 
0.496875, 105238, 
0.503125, 98987, 
0.509375, 92720.4, 
0.515625, 86407.9, 
0.521875, 80019.2, 
0.528125, 73524.6, 
0.534375, 66894.8, 
0.540625, 60101.6, 
0.546875, 53117.6, 
0.553125, 45916.7, 
0.559375, 38474.1, 
0.565625, 30766.4, 
0.571875, 22772.1, 
0.578125, 14471.2, 
0.584375, 5845.61, 
0.590625, -3120.6, 
0.596875, -12441.4, 
0.603125, -22128.4, 
0.609375, -32191.3, 
0.615625, -42637, 
0.621875, -53470.5, 
0.628125, -64694.1, 
0.634375, -76307.8, 
0.640625, -88309.2, 
0.646875, -100694, 
0.653125, -113454, 
0.659375, -126580, 
0.665625, -140061, 
0.671875, -153883, 
0.678125, -168029, 
0.684375, -182482, 
0.690625, -197221, 
0.696875, -212226, 
0.703125, -227472, 
0.709375, -242935, 
0.715625, -258589, 
0.721875, -274407, 
0.728125, -290359, 
0.734375, -306418, 
0.740625, -322553, 
0.746875, -338733, 
0.753125, -354929, 
0.759375, -371110, 
0.765625, -387244, 
0.771875, -403303, 
0.778125, -419255, 
0.784375, -435073, 
0.790625, -450727, 
0.796875, -466190, 
0.803125, -481436, 
0.809375, -496441, 
0.815625, -511180, 
0.821875, -525633, 
0.828125, -539779, 
0.834375, -553601, 
0.840625, -567082, 
0.846875, -580208, 
0.853125, -592968, 
0.859375, -605353, 
0.865625, -617354, 
0.871875, -628968, 
0.878125, -640192, 
0.884375, -651025, 
0.890625, -661471, 
0.896875, -671534, 
0.903125, -681221, 
0.909375, -690541, 
0.915625, -699508, 
0.921875, -708133, 
0.928125, -716434, 
0.934375, -724429, 
0.940625, -732136, 
0.946875, -739579, 
0.953125, -746780, 
0.959375, -753764, 
0.965625, -760557, 
0.971875, -767187, 
0.978125, -773681, 
0.984375, -780070, 
0.990625, -786382, 
0.996875, -792649, 
