space, Nx=80
0, 0.100341
0.0125, 0.101321
0.025, 0.104239
0.0375, 0.109023
0.05, 0.115554
0.0625, 0.123672
0.075, 0.133177
0.0875, 0.143835
0.1, 0.155384
0.1125, 0.167539
0.125, 0.18
0.1375, 0.192461
0.15, 0.204616
0.1625, 0.216165
0.175, 0.226823
0.1875, 0.236328
0.2, 0.244446
0.2125, 0.250977
0.225, 0.255761
0.2375, 0.258679
0.25, 0.259659
0.2625, 0.258679
0.275, 0.255761
0.2875, 0.250977
0.3, 0.244446
0.3125, 0.236328
0.325, 0.226823
0.3375, 0.216165
0.35, 0.204616
0.3625, 0.192461
0.375, 0.18
0.3875, 0.167539
0.4, 0.155384
0.4125, 0.143835
0.425, 0.133177
0.4375, 0.123672
0.45, 0.115554
0.4625, 0.109023
0.475, 0.104239
0.4875, 0.101321
0.5, 0.100341
0.5125, 0.101321
0.525, 0.104239
0.5375, 0.109023
0.55, 0.115554
0.5625, 0.123672
0.575, 0.133177
0.5875, 0.143835
0.6, 0.155384
0.6125, 0.167539
0.625, 0.18
0.6375, 0.192461
0.65, 0.204616
0.6625, 0.216165
0.675, 0.226823
0.6875, 0.236328
0.7, 0.244446
0.7125, 0.250977
0.725, 0.255761
0.7375, 0.258679
0.75, 0.259659
0.7625, 0.258679
0.775, 0.255761
0.7875, 0.250977
0.8, 0.244446
0.8125, 0.236328
0.825, 0.226823
0.8375, 0.216165
0.85, 0.204616
0.8625, 0.192461
0.875, 0.18
0.8875, 0.167539
0.9, 0.155384
0.9125, 0.143835
0.925, 0.133177
0.9375, 0.123672
0.95, 0.115554
0.9625, 0.109023
0.975, 0.104239
0.9875, 0.101321
1, 0.100341
