space, t0, t1, t2, t3, t4, t5, t6, t7, t8, t9
0.05, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 
0.15, 0, 0.5, 0.75, 0.875, 0.9375, 0.96875, 0.984375, 0.992188, 0.996094, 0.998047, 
0.25, 0, 0.25, 0.5, 0.6875, 0.8125, 0.890625, 0.9375, 0.964844, 0.980469, 0.989258, 
0.35, 0, 0.125, 0.3125, 0.5, 0.65625, 0.773438, 0.855469, 0.910156, 0.945312, 0.967285, 
0.45, 0, 0.0625, 0.1875, 0.34375, 0.5, 0.636719, 0.746094, 0.828125, 0.886719, 0.927002, 
0.55, 0, 0.03125, 0.109375, 0.226562, 0.363281, 0.5, 0.623047, 0.725586, 0.806152, 0.866577, 
0.65, 0, 0.015625, 0.0625, 0.144531, 0.253906, 0.376953, 0.5, 0.612793, 0.709473, 0.788025, 
0.75, 0, 0.0078125, 0.0351562, 0.0898438, 0.171875, 0.274414, 0.387207, 0.5, 0.604736, 0.696381, 
0.85, 0, 0.00390625, 0.0195312, 0.0546875, 0.113281, 0.193848, 0.290527, 0.395264, 0.5, 0.59819, 
0.95, 0, 0.00195312, 0.0107422, 0.0327148, 0.072998, 0.133423, 0.211975, 0.303619, 0.40181, 0.5, 
