space, velocity
0, 0.05
0.01, 0.050005
0.02, 0.05002
0.03, 0.050045
0.04, 0.05008
0.05, 0.050125
0.06, 0.05018
0.07, 0.050245
0.08, 0.05032
0.09, 0.050405
0.1, 0.0505
0.11, 0.050605
0.12, 0.05072
0.13, 0.050845
0.14, 0.05098
0.15, 0.051125
0.16, 0.05128
0.17, 0.051445
0.18, 0.05162
0.19, 0.051805
0.2, 0.052
0.21, 0.052205
0.22, 0.05242
0.23, 0.052645
0.24, 0.05288
0.25, 0.053125
0.26, 0.05338
0.27, 0.053645
0.28, 0.05392
0.29, 0.054205
0.3, 0.0545
0.31, 0.054805
0.32, 0.05512
0.33, 0.055445
0.34, 0.05578
0.35, 0.056125
0.36, 0.05648
0.37, 0.056845
0.38, 0.05722
0.39, 0.057605
0.4, 0.058
0.41, 0.058405
0.42, 0.05882
0.43, 0.059245
0.44, 0.05968
0.45, 0.060125
0.46, 0.06058
0.47, 0.061045
0.48, 0.06152
0.49, 0.062005
0.5, 0.0625
0.51, 0.063005
0.52, 0.06352
0.53, 0.064045
0.54, 0.06458
0.55, 0.065125
0.56, 0.06568
0.57, 0.066245
0.58, 0.06682
0.59, 0.067405
0.6, 0.068
0.61, 0.068605
0.62, 0.06922
0.63, 0.069845
0.64, 0.07048
0.65, 0.071125
0.66, 0.07178
0.67, 0.072445
0.68, 0.07312
0.69, 0.073805
0.7, 0.0745
0.71, 0.075205
0.72, 0.07592
0.73, 0.076645
0.74, 0.07738
0.75, 0.078125
0.76, 0.07888
0.77, 0.079645
0.78, 0.08042
0.79, 0.081205
0.8, 0.082
0.81, 0.082805
0.82, 0.08362
0.83, 0.084445
0.84, 0.08528
0.85, 0.086125
0.86, 0.08698
0.87, 0.087845
0.88, 0.08872
0.89, 0.089605
0.9, 0.0905
0.91, 0.091405
0.92, 0.09232
0.93, 0.093245
0.94, 0.09418
0.95, 0.095125
0.96, 0.09608
0.97, 0.097045
0.98, 0.09802
0.99, 0.099005
1, 0.1
